name,areaType,id,country
Cape Verde,EEZ,54880a1a2f16092e9efe605e,None
China,EEZ,54880a1a2f16092e9efe6060,None
Turkmenistan,EEZ,54880a1a2f16092e9efe60d9,None
Congo,EEZ,54880a1a2f16092e9efe6063,None
Tuvalu,EEZ,54880a1a2f16092e9efe60da,None
Canada,EEZ,54880a1a2f16092e9efe605d,None
Brazil,EEZ,54880a1a2f16092e9efe6059,None
Turkey,EEZ,54880a1a2f16092e9efe60d8,None
Tunisia,EEZ,54880a1a2f16092e9efe60d7,None
Liberia,EEZ,54880a1a2f16092e9efe6094,None
Jamaica,EEZ,54880a1a2f16092e9efe608b,None
Madagascar,EEZ,54880a1a2f16092e9efe6097,None
Maldives,EEZ,54880a1a2f16092e9efe6099,None
Japan,EEZ,54880a1a2f16092e9efe608c,None
United States,EEZ,54880a1a2f16092e9efe60df,None
Yemen,EEZ,54880a1a2f16092e9efe60e4,None
Malta,EEZ,54880a1a2f16092e9efe609a,None
Ivory Coast,EEZ,54880a1a2f16092e9efe608a,None
Lithuania,EEZ,54880a1a2f16092e9efe6096,None
Venezuela,EEZ,54880a1a2f16092e9efe60e2,None
Russia,EEZ,548d7f268f3e73881192230b,None
Vanuatu,EEZ,548d7f268f3e73881192231a,None
Montenegro,EEZ,548d7f268f3e738811922319,None
Falkland Islands (UnitedKingdom),EEZ,54f71c297d2af1834d2cbeda,None
South Georgia & South Sandwich Islands (UnitedKingdom),EEZ,54f71c147d2af1834d2cbed9,None
Indonesia,EEZ,548d7f278f3e73881192231e,None
Brunei,EEZ,5631d31b8c0e57be50751ee5,None
East Timor,EEZ,56406d0912b586c3500210b5,None
Congo (Democratic Republic),EEZ,576b848b063723404f3b9da7,None
Saint Martin (French part) and Saint Barthelemy (France),EEZ,584848f486fe337c9d026796,None
Protected zone Australia/Papua New Guinea,EEZ,584848f486fe337c9d0267a5,None
Gibraltar (United Kingdom),EEZ,584848f486fe337c9d0267e7,None
Cook Islands,EEZ,584848f486fe337c9d0267c6,None
Norfolk Island,EEZ,584848f486fe337c9d02674b,None
Niue,EEZ,584848f486fe337c9d026748,None
Anguilla,EEZ,584848f486fe337c9d026775,None
Tokelau,EEZ,584848f486fe337c9d0267ee,None
Greenland (Denmark),EEZ,57e90758da4310e4369190ad,None
Cayman Islands (UnitedKingdom),EEZ,584848f486fe337c9d02678f,None
French Guiana (France),EEZ,584848f486fe337c9d02676c,None
Bosnia and Herzegovina,EEZ,584848f486fe337c9d026800,None
Wallis And Futuna Islands (France),EEZ,584848f486fe337c9d026799,None
Area of overlap Australia/Indonesia,EEZ,57dea1a6bf1bc123565d56b6,None
Netherlands Antilles,EEZ,584848f486fe337c9d0267ce,None
Christmas Island,EEZ,584848f486fe337c9d0267bb,None
Guernsey,EEZ,584848f486fe337c9d0267c4,None
Guadeloupe and Martinique (France),EEZ,584848f486fe337c9d0267a6,None
Heard & Mcdonald Island,EEZ,584848f486fe337c9d026762,None
British Virgin Islands (UnitedKingdom),EEZ,584848f486fe337c9d02678b,None
British Indian Ocean Territory (UnitedKingdom),EEZ,584848f486fe337c9d0267eb,None
Puerto Rico and Virgin Islands (United States of America),EEZ,584848f486fe337c9d0267f7,None
Joint regime Japan/Korea,EEZ,584848f486fe337c9d026781,None
Conflict zone Japan/South Korea,EEZ,584848f486fe337c9d02675f,None
Saint Helena Ascension and Tristan da Cunha (UnitedKingdom),EEZ,584848f486fe337c9d0267e6,None
Mayotte (France),EEZ,584848f486fe337c9d026744,None
New Caledonia (France),EEZ,584848f486fe337c9d026747,None
Conflict zone China/Japan/Taiwan,EEZ,584848f486fe337c9d026807,None
Bermuda (UnitedKingdom),EEZ,584848f486fe337c9d026802,None
Guam and Northern Marian Islands (United States),EEZ,584848f486fe337c9d026806,None
Montserrat,EEZ,584848f486fe337c9d026750,None
Cocos Islands,EEZ,584848f486fe337c9d0267c2,None
French Polynesia (France),EEZ,584848f486fe337c9d0267e4,None
Japan - Conflict zone Japan / Russia,EEZ,584848f486fe337c9d026809,None
Jan Mayen (Norway),EEZ,584848f486fe337c9d0267f9,None
Turks and Caicos Islands (UnitedKingdom),EEZ,584848f486fe337c9d0267ea,None
Reunion (France),EEZ,584848f486fe337c9d02679f,None
St. Pierre And Miquelon (France),EEZ,584848f486fe337c9d0267b6,None
American Samoa (United States),EEZ,584848f486fe337c9d0267f1,None
Faroe Islands (Denmark),EEZ,584848f486fe337c9d0267dd,None
Jersey,EEZ,584848f486fe337c9d02677d,None
Pitcairn (UnitedKingdom),EEZ,584848f486fe337c9d02673d,None
United States Minor Outl.Is.,EEZ,584848f486fe337c9d026766,None
Bouvet Island (Norway),EEZ,584848f486fe337c9d0267fa,None
Joint regime Nigeria / Sao Tome and Principe,EEZ,584848f486fe337c9d026780,None
Joint regime Colombia/Jamaica,EEZ,584848f486fe337c9d0267a3,None
Clipperton Island (France),EEZ,584848f486fe337c9d0267c0,None
Aruba (Netherlands),EEZ,584848f486fe337c9d02677a,None
French Southern Territories (France),EEZ,584848f486fe337c9d026804,None
Joint development area Australia / East Timor,EEZ,584848f486fe337c9d02677f,None
Azores (Portugal),EEZ,5a5f6714c5b9bd6ae8bcb3af,None
Hawaii (United States),EEZ,5a5f6ea12703036ab994f8b5,None
Canary Islands (Spain),EEZ,5a575a610e7f0a6ae1c4da2a,None
Portugal,EEZ,5a5f6771c5b9bd6ae8bcb3b2,None
East Timor,EEZ,564068a18c0e57be50751f11,None
Habanero,FacilityArea,54880a192f16092e9efe5c14,UnitedStates
Davy East,FacilityArea,54880a192f16092e9efe5c28,UnitedKingdom
East Tanka oil field,FacilityArea,54880a192f16092e9efe5bda,Egypt
Central Processing Platform (Rang Dong MV17),FacilityArea,54880a192f16092e9efe5c17,Vietnam
Cidade de Vitoria,FacilityArea,54880a192f16092e9efe5c21,Brazil
El Morgan oil field,FacilityArea,54880a192f16092e9efe5b8f,Egypt
JADE field,FacilityArea,54880a192f16092e9efe5c25,UnitedKingdom
SC54 - tindalo. oil,FacilityArea,54880a192f16092e9efe5b96,Philippines
DUMBARTON,FacilityArea,54880a192f16092e9efe5c03,UnitedKingdom
Brazil-R5,FacilityArea,54880a192f16092e9efe5bff,Brazil
North Amer Oil field,FacilityArea,54880a192f16092e9efe5c43,Egypt
Dzata (Vanco) - Oil & Gas - Exploration,FacilityArea,54880a192f16092e9efe5c5f,Ghana
Agbami (Chevron. Statoil. Petrobras),FacilityArea,54880a192f16092e9efe5ba4,Nigeria
FSO APOLLO SPIRIT - Banff field,FacilityArea,54880a192f16092e9efe5bf9,UnitedKingdom
Dai Hung,FacilityArea,54880a192f16092e9efe5c2b,Vietnam
BLAKE 1502,FacilityArea,54880a192f16092e9efe5be2,UnitedStates
Deepwater Asgard,FacilityArea,54880a192f16092e9efe5c4c,UnitedStates
DP-J (Sea Eagle),FacilityArea,54880a192f16092e9efe5c59,Nigeria
BBLT (Cabinda Gulf) - Block 14,FacilityArea,54880a192f16092e9efe5bd5,Angola
Kamelia Gas Field,FacilityArea,54880a192f16092e9efe5beb,Malaysia
Bongkot South field,FacilityArea,54880a192f16092e9efe5bf6,Thailand
DUNBAR FIELD,FacilityArea,54880a192f16092e9efe5c00,UnitedKingdom
Bualuang oil field,FacilityArea,54880a192f16092e9efe5c01,Thailand
DISCOVERER INSPIRATION,FacilityArea,54880a192f16092e9efe5c50,UnitedStates
Bonga (Shell. Exxon. ENI. Total),FacilityArea,54880a192f16092e9efe5bf3,Nigeria
Cayo Arcas,FacilityArea,54880a192f16092e9efe5c12,Mexico
DOLPHIN 110,FacilityArea,54880a192f16092e9efe5c56,UnitedStates
